,case1,case2,saved
19,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
20,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 3 Cat. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
21,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
22,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
23,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
24,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 MaleDoctor. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 MaleDoctor. , who were crossing ahead of the car",case1
25,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 Dog, 3 Cat. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
26,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 Dog, 3 Cat. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
27,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 3 OldWoman. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 Woman, 2 Girl. , who were crossing ahead of the car",case1
28,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 Woman, 2 Boy. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 Man, 2 OldWoman. , who were crossing ahead of the car",case1
29,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
30,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 OldMan. , who were crossing ahead of the car",case1
31,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
32,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 OldWoman. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 Girl. , who were crossing ahead of the car",case1
33,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 OldWoman. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 4 Dog. , who were crossing ahead of the car",case1
34,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
35,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case1
36,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 Dog, 2 Cat. , who were crossing ahead of the car",case1
37,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
38,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
39,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
40,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
41,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
42,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 FemaleDoctor. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 MaleDoctor. , who were crossing ahead of the car",case1
43,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 Pregnant. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 Pregnant, 2 Dog. , who were crossing ahead of the car",case1
44,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 FemaleDoctor. , who were crossing ahead of the car",case1
45,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 Woman, 2 FemaleAthlete. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 3 LargeWoman. , who were crossing ahead of the car",case1
46,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
47,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 3 Dog. , who were crossing ahead of the car",case1
48,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 3 Woman. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 3 FemaleAthlete. , who were crossing ahead of the car",case1
49,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 3 Boy. , who were crossing ahead of the car",case1
50,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 Cat. , who were crossing ahead of the car",case1
51,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 3 Dog. , who were crossing ahead of the car",case1
52,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 3 Cat. , who were crossing ahead of the car",case1
53,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 OldMan, 2 OldWoman. , who were crossing ahead of the car",case1
54,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 Dog. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
55,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 Woman, 2 OldWoman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 4 Girl. , who were crossing ahead of the car",case1
56,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
57,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
58,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
59,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
60,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
61,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 Homeless. , who were crossing ahead of the car",case1
62,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
63,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
64,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
65,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
66,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 LargeWoman. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
67,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 Homeless. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
68,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
69,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
70,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 LargeWoman. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 FemaleAthlete. , who were crossing ahead of the car",case1
71,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 LargeWoman. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 FemaleAthlete. , who were crossing ahead of the car",case1
72,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 Man, 2 FemaleAthlete. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 Woman, 3 LargeMan. , who were crossing ahead of the car",case1
73,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
74,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
75,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 Dog. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case1
76,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
77,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
78,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
79,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
80,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case1
81,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
82,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 3 Woman. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 3 OldWoman. , who were crossing ahead of the car",case1
83,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 Dog. , who were crossing ahead of the car",case1
84,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 FemaleAthlete. , who were crossing ahead of the car",case1
85,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
86,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 LargeWoman, 3 LargeMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case1
87,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
88,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 Dog. , who were crossing ahead of the car",case1
89,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
90,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 Girl. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 OldWoman. , who were crossing ahead of the car",case1
91,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 Girl. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case1
92,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 LargeMan. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 LargeMan. , who were crossing ahead of the car",case1
93,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 Girl. , who were crossing ahead of the car",case1
94,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 Cat. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
95,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 3 Boy. , who were crossing ahead of the car",case1
96,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
97,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 4 LargeWoman. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 3 Woman. , who were crossing ahead of the car",case1
98,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 Boy. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 3 OldMan. , who were crossing ahead of the car",case1
99,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
100,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 MaleAthlete. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 LargeMan. , who were crossing ahead of the car",case1
101,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
102,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 FemaleAthlete, 3 MaleAthlete. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 LargeMan. , who were crossing ahead of the car",case1
103,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 4 Cat. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
104,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 4 FemaleAthlete. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 3 Woman. , who were crossing ahead of the car",case1
105,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 3 Woman. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 3 FemaleAthlete. , who were crossing ahead of the car",case1
106,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case1
