,case1,case2,saved
10,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
11,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
12,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
13,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
14,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
15,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
16,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
17,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
18,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
19,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
20,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
21,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
22,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
23,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
24,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
25,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
26,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
27,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
28,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
29,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
30,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
31,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
32,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
33,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
34,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
35,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
36,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
37,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
38,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
39,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
40,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
41,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
42,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
43,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
44,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
45,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
46,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
47,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
48,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
49,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
50,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
51,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
52,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
53,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
54,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
55,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
56,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
57,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
58,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
59,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
60,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
61,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
62,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
63,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
64,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
65,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
66,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
67,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
68,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
69,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
70,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
71,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
72,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
73,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
74,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
75,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
76,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
77,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
78,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
79,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
80,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
81,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
82,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
83,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
84,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
85,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
86,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
87,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
88,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
89,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
90,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
91,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
92,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
93,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 OldMan who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
